1001,Alabama Fertility Specialists,2700 Highway 280,Birmingham,AL,35223,ESC,"Michael P. Steinkampf, M.D.","Michael P. Steinkampf, M.D.","Michael P. Steinkampf, M.D.",205-874-0000,N/A,steinkampf@aol.com;karenhammon,33.479959,-86.775632,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1002,ART Fertility Program of Alabama,2006 Brookwood Med Ctr Dr.,Birmingham,AL,35209,ESC,"Kathryn L. Honea, M.D.","Kathryn L. Honea, M.D.","Deborah C. Merryman, MSc, ELD",205-870-9784,http://www.artprogramAL.com,artprogramAL@artprogramAL.com,33.4627771,-86.7786026,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1003,University of Alabama at Birmingham,618 20th Street South,Birmingham,AL,35249,ESC,"G. Wright Bates, M.D.","G. Wright Bates, M.D.","Phillip A. Kretzer, B.S.",205-934-5708,N/A,N/A,33.5350287,-86.700412,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1004,Center for Reproductive Medicine,3 Mobile Infirmary Cr,Mobile,AL,36607,ESC,"George T. Koulianos, M.D.","George T. Koulianos, M.D.","Suzanne D. Degelos, Ph.D., HCLD",251-438-4200,http://www.infertilityalabama.com,N/A,30.6964745,-88.0788859,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1005,University of South Alabama,1610 Center Street,Mobile,AL,36604-1512,ESC,"Botros Rizk, M.D., HCLD","Botros Rizk, M.D., HCLD","Botros Rizk, M.D., HCLD",251-415-8602,N/A,botros3@aol.com,30.696248,-88.076069,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1006,Arkansas Fertility Center,9101 Kanis Road,Little Rock,AR,72205,WSC,"Dean M. Moutos, M.D.","Michael M. Miller, M.D.","Wan-Song A. Wun, Ph.D., HCLD",501-801-1200,http://www.arkansasfertility.com,dmoutos@obgynmail.com,34.740307,-92.376256,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1007,West Valley Fertility Center,17612 North 59th Avenue,Glendale,AZ,85308,MT,"Vladimir Troche, M.D.","Vladimir Troche, M.D.","B. Dianne Smith, Ph.D., HCLD",602-993-8636,http://www.wvfc.com,doctort@wvfc.com,33.644376,-112.186888,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1008,Arizona Reproductive Medicine Specialists,1701 East Thomas Road,Phoenix,AZ,85016-7669,MT,"Drew V. Moffitt ,M.D.","Drew V. Moffitt, M.D.","Kimball O. Pomeroy, Ph.D., HCLD",602-343-2767,http://www.arizonarms.com,info@arizonarms.com,33.479903,-112.045242,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1009,Southwest Fertility Center,3125 N 32nd Street,Phoenix,AZ,85018,MT,"Sujatha Gunnala, M.D.","Sujatha Gunnala, M.D.","Sujatha Gunnala, M.D.",602-956-7481,http://www.southwestfertilitycenter.com,ivf@southwestfertilitycenter.c,33.4854046,-112.0127892,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1010,"Advanced Fertility Care, PLLC",9819 North 95th Street,Scottsdale,AZ,85258,MT,"Nathaniel Zoneraich, M.D.","Nathaniel Zoneraich, M.D.","Joseph Conaghan, Ph.D., HCLD",480-874-2229,http://www.advancedfertilitycare.com,info@advancedfertilitycare.com,33.575606,-111.875064,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
